info: socket.io started
U: 230,	MR/S: 9575,	MS/S: 9575,	MR/S/U: 41.1,	MS/S/U: 41.1,	CPU: 65.2,	Mem: 1.7
U: 232,	MR/S: 10101,	MS/S: 10101,	MR/S/U: 42.9,	MS/S/U: 42.9,	CPU: 65.2,	Mem: 1.7
U: 234,	MR/S: 9771,	MS/S: 9771,	MR/S/U: 41.1,	MS/S/U: 41.1,	CPU: 65.2,	Mem: 1.7
U: 236,	MR/S: 10190,	MS/S: 10190,	MR/S/U: 42.5,	MS/S/U: 42.5,	CPU: 65.2,	Mem: 1.7
U: 238,	MR/S: 9815,	MS/S: 9815,	MR/S/U: 40.6,	MS/S/U: 40.6,	CPU: 65.2,	Mem: 1.7
U: 240,	MR/S: 10156,	MS/S: 10156,	MR/S/U: 41.7,	MS/S/U: 41.7,	CPU: 65.1,	Mem: 1.7
U: 242,	MR/S: 9794,	MS/S: 9794,	MR/S/U: 39.8,	MS/S/U: 39.8,	CPU: 65.1,	Mem: 1.7
U: 244,	MR/S: 10332,	MS/S: 10332,	MR/S/U: 41.4,	MS/S/U: 41.4,	CPU: 65.1,	Mem: 1.7
U: 246,	MR/S: 10018,	MS/S: 10018,	MR/S/U: 40.1,	MS/S/U: 40.1,	CPU: 65.1,	Mem: 1.7
U: 248,	MR/S: 9978,	MS/S: 9978,	MR/S/U: 39.6,	MS/S/U: 39.6,	CPU: 65.1,	Mem: 1.7
U: 250,	MR/S: 10218,	MS/S: 10218,	MR/S/U: 40.3,	MS/S/U: 40.3,	CPU: 65.1,	Mem: 1.7
U: 252,	MR/S: 10072,	MS/S: 10072,	MR/S/U: 39.3,	MS/S/U: 39.3,	CPU: 65.1,	Mem: 1.8
U: 254,	MR/S: 10139,	MS/S: 10139,	MR/S/U: 39.3,	MS/S/U: 39.3,	CPU: 65.1,	Mem: 1.8
U: 256,	MR/S: 9833,	MS/S: 9833,	MR/S/U: 37.8,	MS/S/U: 37.8,	CPU: 65.1,	Mem: 1.8
U: 258,	MR/S: 10104,	MS/S: 10104,	MR/S/U: 38.5,	MS/S/U: 38.5,	CPU: 65.0,	Mem: 1.8
U: 260,	MR/S: 9978,	MS/S: 9978,	MR/S/U: 37.8,	MS/S/U: 37.8,	CPU: 65.0,	Mem: 1.8
U: 262,	MR/S: 10037,	MS/S: 10037,	MR/S/U: 37.7,	MS/S/U: 37.7,	CPU: 65.0,	Mem: 1.8
U: 264,	MR/S: 9896,	MS/S: 9896,	MR/S/U: 36.9,	MS/S/U: 36.9,	CPU: 65.0,	Mem: 1.8
